university,url,email,address,contact
University of Alaska,http://alaska.edu,ua-sogov-office@alaska.edu,"2025 Yukon Drive, Fairbanks, AK 99775",Lane Washington
University of Alaska Fairbanks,http://uaf.edu,uafoffice@alaskafairbanks.edu,1731 South Chandalar Dr.,Phoebe Meyers
Auburn University,http://auburn.edu,auburnoffice@auburnuni.edu,"23 Samford Hall, Auburn, AL 36849",Wyatt Wolfe
Jacksonville State University,http://jsu.edu,admissions@jsu.edu,"1602, 700 Pelham Rd N, Jacksonville, AL 36265",Yoshio Solomon
University of Montevallo,http://montevallo.edu,malonecenter@montevallo.edu,"75 College Dr, Montevallo, AL 35115",Brenden Orr
Harding University,http://harding.edu,advancement@harding.edu,"915 E Market Ave, Searcy, AR 72149",Heidi Kidd
John Brown University,http://jbu.edu,jbuinfo@jbu.edu,"2000 W University St, Siloam Springs, AR 72761",Coby Bauer
Berkeley City College,http://berkeleycitycollege.edu,BCC-AdmissionsRecords@peralta.edu," 2050 Center St, Berkeley, CA 94704",Sopoline Valenzuela
California Institute of the Arts,http://calarts.edu,alumni@calarts.edu,"24700 McBean Pkwy, Valencia, CA 91355",Hedley Farley
California State University,"http://calstate.edu	",admission@calstatela.edu,"1250 BELLFLOWER BOULEVARD LONG BEACH, CALIFORNIA 90840",Rhonda Sanchez
University of Hartford,http://hartford.edu,UofHart@hartford.edu,"200 Bloomfield Ave, West Hartford, CT 06117",Russell Mayer
University of New Haven,http://newhaven.edu,unhm.fa@unh.edu,"300 Boston Post Rd, West Haven, CT 06516",Victoria Guy
Trinity College,http://trincoll.edu,helpdesk@trincoll.edu.,"300 Summit Street. Hartford, CT 06106-3100",Kasper Middlon
Yale University,http://yale.edu,student.questions@yale.edu,"New Haven, CT 06520",Sierra Osborn
Georgetown University,http://georgetown.edu,guadmiss@georgetown.edu,"3700 O St NW, Washington, DC 20057",Tanner Melton
Howard University,http://howard.edu,admission@howard.edu,"2400 6th St NW, Washington, DC 20059",Stone Galloway
Georgetown College,http://georgetowncollege.edu,guadmiss@georgetown.edu,"400 E College St, Georgetown, KY 40324",Luke Tanner
Johns Hopkins University,http://jhu.edu,gotojhu@jhu.edu,"Baltimore, MD 21218",Lila Gomez
University of Maine,http://umaine.edu,umaineadmissions@maine.edu,"168 College Ave, Orono, ME 04469",Merrill Ferrell
New England College,"http://nec.edu	",admission@nec.edu,"98 Bridge St, Henniker, NH 03242",John Trevolta
University of New Hampshire,http://unh.edu,admissions@unh.edu,"105 Main St, Durham, NH 03824",Billie Riquard
Fashion Institute of Technology,https://www.fitnyc.edu,admission@fit.edu,"227 W 27th St, New York, NY 10001",Paul Mckinley
University of Rochester,http://rochester.edu,admit@admissions.rochester.edu,"601 Elmwood Avenue. Rochester, NY 14642",Sarah Hopkins
,,,,
